iter	Passed	Remaining
0	68	37400
1	85	23316
2	104	18819
3	121	16458
4	146	15783
5	163	14706
6	181	13967
7	198	13345
8	215	12860
9	232	12459
10	249	12116
11	266	11845
12	291	11948
13	318	12083
14	336	11890
15	355	11738
16	377	11731
17	399	11696
18	421	11657
19	438	11507
20	455	11378
21	475	11303
22	496	11264
23	519	11278
24	547	11392
25	565	11288
26	583	11186
27	599	11065
28	615	10959
29	633	10877
30	650	10784
31	667	10697
32	684	10619
33	707	10632
34	738	10757
35	758	10727
36	777	10673
37	794	10599
38	812	10536
39	829	10468
40	847	10412
41	864	10357
42	889	10380
43	906	10318
44	930	10341
45	959	10411
46	979	10378
47	997	10323
48	1014	10268
49	1031	10207
50	1048	10152
51	1065	10104
52	1082	10050
53	1103	10030
54	1126	10034
55	1155	10093
56	1174	10054
57	1191	10005
58	1208	9952
59	1226	9911
60	1240	9844
61	1257	9799
62	1275	9759
63	1294	9727
64	1312	9690
65	1331	9666
66	1355	9673
67	1383	9704
68	1403	9681
69	1423	9657
70	1441	9623
71	1464	9624
72	1482	9586
73	1499	9543
74	1517	9508
75	1537	9486
76	1566	9519
77	1587	9503
78	1605	9469
79	1623	9436
80	1640	9399
81	1659	9369
82	1678	9341
83	1699	9326
84	1726	9341
85	1751	9349
86	1804	9499
87	1860	9661
88	1926	9872
89	1951	9867
90	1989	9924
91	2017	9933
92	2035	9892
93	2053	9850
94	2072	9817
95	2091	9781
96	2110	9747
97	2127	9704
98	2144	9662
99	2161	9619
100	2179	9579
101	2200	9556
102	2221	9533
103	2251	9548
104	2269	9511
105	2291	9491
106	2314	9475
107	2332	9436
108	2348	9394
109	2365	9354
110	2382	9315
111	2401	9286
112	2429	9288
113	2454	9281
114	2472	9246
115	2491	9214
116	2510	9185
117	2530	9155
118	2548	9124
119	2567	9094
120	2584	9055
121	2604	9029
122	2628	9017
123	2657	9022
124	2677	8995
125	2696	8965
126	2715	8937
127	2735	8911
128	2755	8884
129	2781	8878
130	2801	8852
131	2822	8830
132	2847	8820
133	2878	8829
134	2895	8794
135	2918	8777
136	2943	8765
137	2963	8739
138	2981	8709
139	3005	8695
140	3019	8651
141	3045	8642
142	3076	8649
143	3091	8609
144	3111	8582
145	3125	8541
146	3143	8509
147	3161	8479
148	3172	8432
149	3188	8397
150	3204	8361
151	3222	8332
152	3238	8298
153	3270	8304
154	3312	8335
155	3349	8351
156	3376	8345
157	3405	8340
158	3429	8326
159	3459	8324
160	3501	8351
161	3538	8365
162	3572	8373
163	3592	8347
164	3611	8317
165	3628	8285
166	3646	8254
167	3663	8222
168	3681	8191
169	3699	8160
170	3718	8132
171	3739	8109
172	3762	8089
173	3787	8075
174	3811	8058
175	3838	8047
176	3861	8027
177	3886	8013
178	3916	8008
179	3946	8002
180	3972	7988
181	4000	7978
182	4024	7961
183	4054	7954
184	4085	7949
185	4109	7932
186	4133	7913
187	4152	7884
188	4174	7863
189	4217	7879
190	4250	7878
191	4276	7861
192	4376	7982
193	4448	8047
194	4482	8045
195	4509	8030
196	4566	8066
197	4597	8056
198	4626	8043
199	4644	8011
200	4660	7976
201	4677	7942
202	4698	7915
203	4710	7874
204	4722	7831
205	4740	7800
206	4755	7765
207	4772	7731
208	4797	7712
209	4846	7731
210	4877	7721
211	4909	7712
212	4937	7696
213	4959	7671
214	4983	7649
215	5014	7637
216	5052	7636
217	5092	7638
218	5116	7616
219	5137	7589
220	5170	7579
221	5190	7552
222	5208	7520
223	5226	7489
224	5247	7463
225	5278	7449
226	5301	7427
227	5313	7387
228	5341	7371
229	5360	7341
230	5379	7312
231	5411	7300
232	5440	7285
233	5479	7282
234	5509	7267
235	5540	7254
236	5557	7222
237	5575	7191
238	5591	7158
239	5608	7127
240	5625	7096
241	5644	7067
242	5668	7044
243	5690	7019
244	5706	6987
245	5723	6956
246	5742	6928
247	5759	6897
248	5774	6864
249	5791	6833
250	5808	6803
251	5825	6773
252	5844	6745
253	5877	6734
254	5922	6734
255	5954	6721
256	5987	6709
257	6017	6693
258	6044	6675
259	6078	6662
260	6114	6653
261	6141	6634
262	6170	6616
263	6187	6586
264	6199	6550
265	6216	6520
266	6231	6488
267	6247	6457
268	6264	6427
269	6284	6400
270	6305	6375
271	6334	6357
272	6351	6328
273	6368	6298
274	6385	6269
275	6401	6239
276	6417	6209
277	6435	6181
278	6483	6181
279	6523	6174
280	6571	6173
281	6598	6154
282	6627	6135
283	6651	6112
284	6679	6093
285	6705	6072
286	6729	6049
287	6749	6022
288	6766	5994
289	6778	5960
290	6797	5933
291	6815	5904
292	6833	5877
293	6850	5848
294	6867	5819
295	6886	5792
296	6906	5766
297	6920	5736
298	6938	5708
299	6971	5693
300	6990	5666
301	7005	5636
302	7017	5604
303	7039	5580
304	7069	5562
305	7093	5540
306	7128	5526
307	7171	5518
308	7198	5497
309	7230	5481
310	7259	5462
311	7277	5435
312	7306	5415
313	7324	5388
314	7357	5372
315	7394	5358
316	7424	5340
317	7452	5319
318	7469	5292
319	7487	5264
320	7503	5236
321	7516	5205
322	7527	5174
323	7544	5145
324	7562	5118
325	7581	5092
326	7604	5069
327	7619	5040
328	7645	5019
329	7676	5001
330	7699	4978
331	7726	4956
332	7750	4934
333	7777	4913
334	7807	4894
335	7842	4878
336	7872	4859
337	7902	4839
338	7927	4817
339	7944	4790
340	7961	4762
341	7981	4737
342	7998	4710
343	8028	4690
344	8051	4667
345	8069	4641
346	8086	4614
347	8103	4587
348	8114	4557
349	8131	4530
350	8148	4503
351	8159	4473
352	8175	4446
353	8193	4420
354	8215	4396
355	8249	4379
356	8300	4371
357	8324	4348
358	8353	4327
359	8373	4303
360	8400	4281
361	8443	4268
362	8483	4253
363	8546	4249
